instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s,machine_info,deviations,n_nodes,normalized_time
1,lkh,300.0,2,82837,82830,0.008451044307618014,0.04705889199976809,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,3,82837,82830,0.008451044307618014,0.05079628099974798,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,4,82837,82830,0.008451044307618014,0.03910920599992096,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,5,82837,82830,0.008451044307618014,0.04521181299969612,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,6,82837,82830,0.008451044307618014,0.039505411999925855,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,7,82837,82830,0.008451044307618014,0.04734177099999215,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,8,82837,82830,0.008451044307618014,0.04244285200002196,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,9,82837,82830,0.008451044307618014,0.04412449699975696,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,10,82837,82830,0.008451044307618014,0.03961488000004465,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,11,82837,82830,0.008451044307618014,0.04524610099997517,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,12,82837,82830,0.008451044307618014,0.04239558299923374,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,13,82837,82830,0.008451044307618014,0.04014344200004416,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,14,82837,82830,0.008451044307618014,0.03933812300056161,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,15,82837,82830,0.008451044307618014,0.04063782100001845,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,16,82837,82830,0.008451044307618014,0.04728072899979452,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,17,82837,82830,0.008451044307618014,0.04790201299965702,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,18,82837,82830,0.008451044307618014,0.04206522299955395,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,19,82837,82830,0.008451044307618014,0.043719927999518404,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,20,82837,82830,0.008451044307618014,0.04981278899958852,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,21,82837,82830,0.008451044307618014,0.051222532999418036,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,22,82837,82830,0.008451044307618014,0.04298587100038276,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,23,82837,82830,0.008451044307618014,0.036926959000084025,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,24,82837,82830,0.008451044307618014,0.03970837399992888,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,25,82837,82830,0.008451044307618014,0.05157044799943833,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,26,82837,82830,0.008451044307618014,0.04112943899963284,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,27,82837,82830,0.008451044307618014,0.05458522600019933,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,28,82837,82830,0.008451044307618014,0.04968437800016545,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,29,82837,82830,0.008451044307618014,0.03881817499950557,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,lkh,300.0,30,82837,82830,0.008451044307618014,0.03835791000074096,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
1,EdgeRand,1.0,1,563874,82830,580.7605939876856,0.0005260890002318774,"{'cpu': 'x86_64', 'memory_gb': 15.438724517822266, 'os': 'Linux 6.14.0-36-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['HK bound not computed; using TSPLIB optimal'],1,inf
