instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s
berlin52,EdgeRand,30.0,20,31160,7542,313.15300981172106,0.000431
berlin52,EdgeRand,30.0,21,31010,7542,311.1641474409971,0.000410
berlin52,EdgeRand,30.0,22,30476,7542,304.08379740121984,0.000357
berlin52,EdgeRand,30.0,23,32057,7542,325.04640678865024,0.000395
berlin52,EdgeRand,30.0,24,26866,7542,256.2185096791302,0.000335
berlin52,EdgeRand,30.0,25,28574,7542,278.8650225404402,0.000288
berlin52,EdgeRand,30.0,26,25860,7542,242.87987271280826,0.000374
berlin52,EdgeRand,30.0,27,28594,7542,279.13020418987,0.000482
berlin52,EdgeRand,30.0,28,30423,7542,303.38106603023067,0.000376
berlin52,EdgeRand,30.0,29,30191,7542,300.3049588968443,0.000306
berlin52,EdgeRand,30.0,30,30985,7542,310.83267037920973,0.000478
berlin52,EdgeRand,300.0,1,30745,7542,307.65049058605143,0.000727
berlin52,EdgeRand,300.0,2,29368,7542,289.3927340228056,0.000372
berlin52,EdgeRand,300.0,3,30344,7542,302.3335985149828,0.000429
berlin52,EdgeRand,300.0,4,30094,7542,299.01882789710953,0.000725
berlin52,EdgeRand,300.0,5,29987,7542,297.60010607265974,0.000496
berlin52,EdgeRand,300.0,6,25938,7542,243.9140811455847,0.000569
berlin52,EdgeRand,300.0,7,30002,7542,297.79899230973217,0.000796
berlin52,EdgeRand,300.0,8,27747,7542,267.8997613365155,0.000454
berlin52,EdgeRand,300.0,9,30815,7542,308.578626359056,0.000386
berlin52,EdgeRand,300.0,10,29487,7542,290.9705648369133,0.000529
berlin52,EdgeRand,300.0,11,31786,7542,321.45319543887564,0.000554
berlin52,EdgeRand,300.0,12,25995,7542,244.66984884645981,0.000414
berlin52,EdgeRand,300.0,13,30632,7542,306.1522142667728,0.000544
berlin52,EdgeRand,300.0,14,30638,7542,306.2317687616017,0.000571
berlin52,EdgeRand,300.0,15,30837,7542,308.8703261734288,0.000559
berlin52,EdgeRand,300.0,16,33509,7542,344.29859453725805,0.000480
berlin52,EdgeRand,300.0,17,31175,7542,313.35189604879344,0.000678
berlin52,EdgeRand,300.0,18,31228,7542,314.05462741978255,0.001123
berlin52,EdgeRand,300.0,19,28145,7542,273.1768761601697,0.000797
berlin52,EdgeRand,300.0,20,31160,7542,313.15300981172106,0.000982
berlin52,EdgeRand,300.0,21,31010,7542,311.1641474409971,0.001508
berlin52,EdgeRand,300.0,22,30476,7542,304.08379740121984,0.001405
berlin52,EdgeRand,300.0,23,32057,7542,325.04640678865024,0.001532
berlin52,EdgeRand,300.0,24,26866,7542,256.2185096791302,0.001150
berlin52,EdgeRand,300.0,25,28574,7542,278.8650225404402,0.000648
berlin52,EdgeRand,300.0,26,25860,7542,242.87987271280826,0.001906
berlin52,EdgeRand,300.0,27,28594,7542,279.13020418987,0.000632
berlin52,EdgeRand,300.0,28,30423,7542,303.38106603023067,0.000640
berlin52,EdgeRand,300.0,29,30191,7542,300.3049588968443,0.000562
berlin52,EdgeRand,300.0,30,30985,7542,310.83267037920973,0.000524
dsj1000,lkh,1.0,1,18672232,18609684,0.3361045786699011,1.107951
dsj1000,lkh,1.0,2,18750500,18609684,0.756681306356411,1.299182
dsj1000,lkh,1.0,3,18661923,18609684,0.28070868908897106,1.313381
dsj1000,lkh,1.0,4,18672897,18609684,0.33967798700934415,1.124423
dsj1000,lkh,1.0,5,18669096,18609684,0.3192531372375802,1.211343
dsj1000,lkh,1.0,6,18665154,18609684,0.29807061742692675,1.163300
dsj1000,lkh,1.0,7,18744529,18609684,0.724595860950675,1.337591
dsj1000,lkh,1.0,8,18680916,18609684,0.38276845539128984,1.093745
dsj1000,lkh,1.0,9,18681156,18609684,0.3840581065213144,1.118659
dsj1000,lkh,1.0,10,18682968,18609684,0.39379497255299983,1.464369
dsj1000,lkh,1.0,11,18660436,18609684,0.27271822562919396,1.247688
dsj1000,lkh,1.0,12,18664883,18609684,0.29661438635927406,1.076527
dsj1000,lkh,1.0,13,18744502,18609684,0.7244507751985472,1.134226
dsj1000,lkh,1.0,14,18673909,18609684,0.34511601594094776,1.319364
dsj1000,lkh,1.0,15,18709296,18609684,0.5352697015166943,1.308190
dsj1000,lkh,1.0,16,18693524,18609684,0.4505181280885801,1.277177
dsj1000,lkh,1.0,17,18662605,18609684,0.2843734477167909,1.011947
dsj1000,lkh,1.0,18,18677429,18609684,0.364030899181308,1.118562
dsj1000,lkh,1.0,19,18671637,18609684,0.33290731857671524,1.087638
dsj1000,lkh,1.0,20,18672751,18609684,0.3388934492385792,1.045506
dsj1000,lkh,1.0,21,18696316,18609684,0.4655210695678659,1.137475
dsj1000,lkh,1.0,22,18715267,18609684,0.5673551469224303,1.224477
dsj1000,lkh,1.0,23,18707776,18609684,0.5271019110265386,1.225338
dsj1000,lkh,1.0,24,18671096,18609684,0.33000022998778483,1.164270
dsj1000,lkh,1.0,25,18667817,18609684,0.3123803714238243,1.282012
dsj1000,lkh,1.0,26,18707017,18609684,0.523023389327836,1.483408
dsj1000,lkh,1.0,27,18670108,18609684,0.32469116616918375,1.258250
dsj1000,lkh,1.0,28,18746456,18609684,0.7349506848154971,1.322287
dsj1000,lkh,1.0,29,18680234,18609684,0.37910369676347005,1.106458
dsj1000,lkh,1.0,30,18669225,18609684,0.3199463247199684,1.069107
dsj1000,lkh,30.0,1,18660188,18609684,0.27138558612816854,30.238359
dsj1000,lkh,30.0,2,18660188,18609684,0.27138558612816854,30.299497
dsj1000,lkh,30.0,3,18660188,18609684,0.27138558612816854,30.021173
dsj1000,lkh,30.0,4,18660188,18609684,0.27138558612816854,30.079990
dsj1000,lkh,30.0,5,18660188,18609684,0.27138558612816854,30.056597
dsj1000,lkh,30.0,6,18660188,18609684,0.27138558612816854,30.021650
dsj1000,lkh,30.0,7,18660188,18609684,0.27138558612816854,30.029848
dsj1000,lkh,30.0,8,18660188,18609684,0.27138558612816854,30.055967
dsj1000,lkh,30.0,9,18660188,18609684,0.27138558612816854,30.016980
dsj1000,lkh,30.0,10,18660188,18609684,0.27138558612816854,30.085898
dsj1000,lkh,30.0,11,18660188,18609684,0.27138558612816854,30.039880
dsj1000,lkh,30.0,12,18660188,18609684,0.27138558612816854,30.039383
dsj1000,lkh,30.0,13,18660188,18609684,0.27138558612816854,30.085212
dsj1000,lkh,30.0,14,18660188,18609684,0.27138558612816854,30.025662
dsj1000,lkh,30.0,15,18660188,18609684,0.27138558612816854,29.488652
dsj1000,lkh,30.0,16,18660188,18609684,0.27138558612816854,30.016948
dsj1000,lkh,30.0,17,18660188,18609684,0.27138558612816854,30.080005
dsj1000,lkh,30.0,18,18660188,18609684,0.27138558612816854,29.417290
dsj1000,lkh,30.0,19,18660188,18609684,0.27138558612816854,30.027717
dsj1000,lkh,30.0,20,18660188,18609684,0.27138558612816854,30.085825
dsj1000,lkh,30.0,21,18660188,18609684,0.27138558612816854,30.332071
dsj1000,lkh,30.0,22,18660188,18609684,0.27138558612816854,25.490829
dsj1000,lkh,30.0,23,18660188,18609684,0.27138558612816854,30.020923
dsj1000,lkh,30.0,24,18660188,18609684,0.27138558612816854,29.291487
dsj1000,lkh,30.0,25,18660188,18609684,0.27138558612816854,30.028066
dsj1000,lkh,30.0,26,18660188,18609684,0.27138558612816854,27.594365
dsj1000,lkh,30.0,27,18660188,18609684,0.27138558612816854,26.169124
dsj1000,lkh,30.0,28,18660188,18609684,0.27138558612816854,26.041875
dsj1000,lkh,30.0,29,18660188,18609684,0.27138558612816854,27.652463
